receipe,ingredients
"Potato, leek and cheese soup","1 egg, beaten"
"Potato, leek and cheese soup",500g turkey breast mince
"Potato, leek and cheese soup","2 cloves garlic, crushed"
"Potato, leek and cheese soup","I medium onion, grated"
"Potato, leek and cheese soup","1 red pepper, very finely chopped"
"Potato, leek and cheese soup",1 tsp oregano
"Potato, leek and cheese soup",spray oil
"Potato, leek and cheese soup",good pinch pepper
"Potato, leek and cheese soup",To make the eyeballs:
"Potato, leek and cheese soup",2-3 thin slices red pepper
"Potato, leek and cheese soup",5-6 pitted black olives
"Potato, leek and cheese soup","100g light Mozzarella, cut into 20 small discs"
"Potato, leek and cheese soup",20 cocktail sticks
Ogre's eyeballs,Ingredients
Ogre's eyeballs,"900g potatoes, peeled and cut in to chunky chips"
Ogre's eyeballs,1 tbsp olive oil
Ogre's eyeballs,Ingredients
Ogre's eyeballs,200g dry egg noodles
Ogre's eyeballs,3 tsp rapeseed oil
Ogre's eyeballs,"1 onion, thinly sliced"
Ogre's eyeballs,"1 red pepper, sliced"
Ogre's eyeballs,"125g shiitake mushrooms, sliced"
Ogre's eyeballs,"2 cloves garlic, crushed"
Ogre's eyeballs,good pinch chilli flakes (optional)
Ogre's eyeballs,"100g baby corn, halved"
Ogre's eyeballs,"3 spring onion, sliced in 2cm pieces"
Ogre's eyeballs,1 heaped tsp Chinese five-spice powder
Ogre's eyeballs,"90g baby pak choi, separate leaves leaving heart intact"
Ogre's eyeballs,"1 fresh tomato, finely chopped"
Ogre's eyeballs,120g beansprouts
Ogre's eyeballs,2 tsp reduced-salt soy sauce
Ogre's eyeballs,Ingredients
Ogre's eyeballs,"1 large potato (approx. 300g), chopped"
Ogre's eyeballs,"1 large leek, sliced (reserve slices to garnish)"
Ogre's eyeballs,600ml low-salt vegetable stock
Ogre's eyeballs,50g half-fat cream cheese
Ogre's eyeballs,freshly ground black pepper
Ogre's eyeballs,Ingredients
Ogre's eyeballs,For the meatballs:
Ogre's eyeballs,1 slice wholemeal bread
Ogre's eyeballs,2 tbsp skimmed milk
Ogre's eyeballs,"1 egg, beaten"
Ogre's eyeballs,500g turkey breast mince
Ogre's eyeballs,"2 cloves garlic, crushed"
Ogre's eyeballs,"I medium onion, grated"
Ogre's eyeballs,"1 red pepper, very finely chopped"
Ogre's eyeballs,1 tsp oregano
Ogre's eyeballs,spray oil
Ogre's eyeballs,good pinch pepper
Ogre's eyeballs,To make the eyeballs:
Ogre's eyeballs,2-3 thin slices red pepper
Ogre's eyeballs,5-6 pitted black olives
Ogre's eyeballs,"100g light Mozzarella, cut into 20 small discs"
Ogre's eyeballs,20 cocktail sticks
Tomato ketchup,Ingredients
Tomato ketchup,"1/2 small onion, peeled and very finely chopped"
Tomato ketchup,"1 garlic clove, peeled and finely chopped"
Tomato ketchup,200g chopped tinned tomatoes
Tomato ketchup,2 tsp tomato puree
Tomato ketchup,2 tbsp cider vinegar
Tomato ketchup,half tsp sweetener
Tomato ketchup,Ingredients
Tomato ketchup,2 tsp rapeseed oil
Tomato ketchup,"2-3 onions, finely chopped"
Tomato ketchup,"1 red pepper, finely chopped"
Tomato ketchup,"150g carrots, finely chopped"
Tomato ketchup,"1 courgette, finely chopped"
Tomato ketchup,"100g mushrooms, finely chopped"
Tomato ketchup,"1-2 tsp chilli powder (mild or hot, according to your taste)"
Tomato ketchup,1 tsp ground cumin
Tomato ketchup,1 tsp oregano
Tomato ketchup,800g tin chopped tomatoes
Tomato ketchup,400g tin lentils in water
Tomato ketchup,400g tin mixed beans in water
Tomato ketchup,1 tbsp tomato ketchup
Tomato ketchup,1 tsp salt
Tomato ketchup,"coriander, to garnish"
Tomato ketchup,Ingredients
Tomato ketchup,For the base:
Tomato ketchup,100g plain wholemeal flour
Tomato ketchup,150g plain flour
Tomato ketchup,pinch salt
Tomato ketchup,7g sachet easy-blend yeast
Tomato ketchup,1 tbsp semi-skimmed milk
Tomato ketchup,1 tbsp olive oil
Tomato ketchup,For the topping:
Tomato ketchup,"250g waxy potatoes, thinly sliced"
Tomato ketchup,1 tbsp olive oil
Tomato ketchup,"1 onion, sliced"
Tomato ketchup,leaves from 1 sprig rosemary
Tomato ketchup,1 tbsp fresh thyme
Tomato ketchup,4 tbsp half-fat crème fraiche
Tomato ketchup,freshly ground black pepper
Tomato ketchup,Ingredients
Tomato ketchup,"100g butternut squash, boiled, then mashed"
Tomato ketchup,1 tbsp rapeseed oil
Tomato ketchup,"1 onion, finely chopped"
Tomato ketchup,"1 red pepper, finely chopped"
Tomato ketchup,"2 cloves garlic, crushed"
Tomato ketchup,"150g mixed unsalted nuts (almonds. walnuts, Brazil nuts, hazelnuts)"
Tomato ketchup,"2 eggs, lightly beaten"
Tomato ketchup,150g ground almonds
Tomato ketchup,"200g pack cooked chestnuts, finely chopped"
Tomato ketchup,pinch pepper
Tomato ketchup,2 tbsp water
Tomato ketchup,pinch ground nutmeg
Tomato ketchup,"100g spinach, cooked and well drained (130g frozen and defrosted, or 250g fresh)"
Tomato ketchup,25g dried cranberries
Vegetable chilli,Ingredients
Vegetable chilli,"1/2 small onion, peeled and very finely chopped"
Vegetable chilli,"1 garlic clove, peeled and finely chopped"
Vegetable chilli,200g chopped tinned tomatoes
Vegetable chilli,2 tsp tomato puree
Vegetable chilli,2 tbsp cider vinegar
Vegetable chilli,half tsp sweetener
Vegetable chilli,Ingredients
Vegetable chilli,2 tsp rapeseed oil
Vegetable chilli,"2-3 onions, finely chopped"
Vegetable chilli,"1 red pepper, finely chopped"
Vegetable chilli,"150g carrots, finely chopped"
Vegetable chilli,"1 courgette, finely chopped"
Vegetable chilli,"100g mushrooms, finely chopped"
Vegetable chilli,"1-2 tsp chilli powder (mild or hot, according to your taste)"
Vegetable chilli,1 tsp ground cumin
Vegetable chilli,1 tsp oregano
Vegetable chilli,800g tin chopped tomatoes
Vegetable chilli,400g tin lentils in water
Vegetable chilli,400g tin mixed beans in water
Vegetable chilli,1 tbsp tomato ketchup
Vegetable chilli,1 tsp salt
Vegetable chilli,"coriander, to garnish"
Vegetable chilli,Ingredients
Vegetable chilli,For the base:
Vegetable chilli,100g plain wholemeal flour
Vegetable chilli,150g plain flour
Vegetable chilli,pinch salt
Vegetable chilli,7g sachet easy-blend yeast
Vegetable chilli,1 tbsp semi-skimmed milk
Vegetable chilli,1 tbsp olive oil
Vegetable chilli,For the topping:
Vegetable chilli,"250g waxy potatoes, thinly sliced"
Vegetable chilli,1 tbsp olive oil
Vegetable chilli,"1 onion, sliced"
Vegetable chilli,leaves from 1 sprig rosemary
Vegetable chilli,1 tbsp fresh thyme
Vegetable chilli,4 tbsp half-fat crème fraiche
Vegetable chilli,freshly ground black pepper
Vegetable chilli,Ingredients
Vegetable chilli,"100g butternut squash, boiled, then mashed"
Vegetable chilli,1 tbsp rapeseed oil
Vegetable chilli,"1 onion, finely chopped"
Vegetable chilli,"1 red pepper, finely chopped"
Vegetable chilli,"2 cloves garlic, crushed"
Vegetable chilli,"150g mixed unsalted nuts (almonds. walnuts, Brazil nuts, hazelnuts)"
Vegetable chilli,"2 eggs, lightly beaten"
Vegetable chilli,150g ground almonds
Vegetable chilli,"200g pack cooked chestnuts, finely chopped"
Vegetable chilli,pinch pepper
Vegetable chilli,2 tbsp water
Vegetable chilli,pinch ground nutmeg
Vegetable chilli,"100g spinach, cooked and well drained (130g frozen and defrosted, or 250g fresh)"
Vegetable chilli,25g dried cranberries
Potato pizza,Ingredients
Potato pizza,"1/2 small onion, peeled and very finely chopped"
Potato pizza,"1 garlic clove, peeled and finely chopped"
Potato pizza,200g chopped tinned tomatoes
Potato pizza,2 tsp tomato puree
Potato pizza,2 tbsp cider vinegar
Potato pizza,half tsp sweetener
Potato pizza,Ingredients
Potato pizza,2 tsp rapeseed oil
Potato pizza,"2-3 onions, finely chopped"
Potato pizza,"1 red pepper, finely chopped"
Potato pizza,"150g carrots, finely chopped"
Potato pizza,"1 courgette, finely chopped"
Potato pizza,"100g mushrooms, finely chopped"
Potato pizza,"1-2 tsp chilli powder (mild or hot, according to your taste)"
Potato pizza,1 tsp ground cumin
Potato pizza,1 tsp oregano
Potato pizza,800g tin chopped tomatoes
Potato pizza,400g tin lentils in water
Potato pizza,400g tin mixed beans in water
Potato pizza,1 tbsp tomato ketchup
Potato pizza,1 tsp salt
Potato pizza,"coriander, to garnish"
Potato pizza,Ingredients
Potato pizza,For the base:
Potato pizza,100g plain wholemeal flour
Potato pizza,150g plain flour
Potato pizza,pinch salt
Potato pizza,7g sachet easy-blend yeast
Potato pizza,1 tbsp semi-skimmed milk
Potato pizza,1 tbsp olive oil
Potato pizza,For the topping:
Potato pizza,"250g waxy potatoes, thinly sliced"
Potato pizza,1 tbsp olive oil
Potato pizza,"1 onion, sliced"
Potato pizza,leaves from 1 sprig rosemary
Potato pizza,1 tbsp fresh thyme
Potato pizza,4 tbsp half-fat crème fraiche
Potato pizza,freshly ground black pepper
Potato pizza,Ingredients
Potato pizza,"100g butternut squash, boiled, then mashed"
Potato pizza,1 tbsp rapeseed oil
Potato pizza,"1 onion, finely chopped"
Potato pizza,"1 red pepper, finely chopped"
Potato pizza,"2 cloves garlic, crushed"
Potato pizza,"150g mixed unsalted nuts (almonds. walnuts, Brazil nuts, hazelnuts)"
Potato pizza,"2 eggs, lightly beaten"
Potato pizza,150g ground almonds
Potato pizza,"200g pack cooked chestnuts, finely chopped"
Potato pizza,pinch pepper
Potato pizza,2 tbsp water
Potato pizza,pinch ground nutmeg
Potato pizza,"100g spinach, cooked and well drained (130g frozen and defrosted, or 250g fresh)"
Potato pizza,25g dried cranberries
Nut roast,Ingredients
Nut roast,"1/2 small onion, peeled and very finely chopped"
Nut roast,"1 garlic clove, peeled and finely chopped"
Nut roast,200g chopped tinned tomatoes
Nut roast,2 tsp tomato puree
Nut roast,2 tbsp cider vinegar
Nut roast,half tsp sweetener
Nut roast,Ingredients
Nut roast,2 tsp rapeseed oil
Nut roast,"2-3 onions, finely chopped"
Nut roast,"1 red pepper, finely chopped"
Nut roast,"150g carrots, finely chopped"
Nut roast,"1 courgette, finely chopped"
Nut roast,"100g mushrooms, finely chopped"
Nut roast,"1-2 tsp chilli powder (mild or hot, according to your taste)"
Nut roast,1 tsp ground cumin
Nut roast,1 tsp oregano
Nut roast,800g tin chopped tomatoes
Nut roast,400g tin lentils in water
Nut roast,400g tin mixed beans in water
Nut roast,1 tbsp tomato ketchup
Nut roast,1 tsp salt
Nut roast,"coriander, to garnish"
Nut roast,Ingredients
Nut roast,For the base:
Nut roast,100g plain wholemeal flour
Nut roast,150g plain flour
Nut roast,pinch salt
Nut roast,7g sachet easy-blend yeast
Nut roast,1 tbsp semi-skimmed milk
Nut roast,1 tbsp olive oil
Nut roast,For the topping:
Nut roast,"250g waxy potatoes, thinly sliced"
Nut roast,1 tbsp olive oil
Nut roast,"1 onion, sliced"
Nut roast,leaves from 1 sprig rosemary
Nut roast,1 tbsp fresh thyme
Nut roast,4 tbsp half-fat crème fraiche
Nut roast,freshly ground black pepper
Nut roast,Ingredients
Nut roast,"100g butternut squash, boiled, then mashed"
Nut roast,1 tbsp rapeseed oil
Nut roast,"1 onion, finely chopped"
Nut roast,"1 red pepper, finely chopped"
Nut roast,"2 cloves garlic, crushed"
Nut roast,"150g mixed unsalted nuts (almonds. walnuts, Brazil nuts, hazelnuts)"
Nut roast,"2 eggs, lightly beaten"
Nut roast,150g ground almonds
Nut roast,"200g pack cooked chestnuts, finely chopped"
Nut roast,pinch pepper
Nut roast,2 tbsp water
Nut roast,pinch ground nutmeg
Nut roast,"100g spinach, cooked and well drained (130g frozen and defrosted, or 250g fresh)"
Nut roast,25g dried cranberries
Rekha's Shirkhand,Ingredients
Rekha's Shirkhand,500g 0% fat naturally set yogurt
Rekha's Shirkhand,2 tsp sugar-free sweetener
Rekha's Shirkhand,5 pistachio nuts
Rekha's Shirkhand,5 almonds
Rekha's Shirkhand,"5 cardamoms, ground"
Rekha's Shirkhand,10 saffron strands
Rekha's Shirkhand,1 tbsp skimmed milk
Rekha's Shirkhand,Ingredients
Rekha's Shirkhand,1 tbsp oil
Rekha's Shirkhand,"2 cloves garlic, crushed"
Rekha's Shirkhand,quarter tsp ground cumin
Rekha's Shirkhand,quarter tsp ground ginger
Rekha's Shirkhand,half tsp chilli powder
Rekha's Shirkhand,"450g mixed vegetables cut into bite-sized pieces - one large courgette, two medium carrots and one medium aubergine"
Rekha's Shirkhand,100ml vegetable stock
Rekha's Shirkhand,"400g tin chickpeas, drained and rinsed"
Rekha's Shirkhand,100g (12) dried apricots
Rekha's Shirkhand,400g tin chopped tomatoes
Rekha's Shirkhand,1 tsp harissa paste
Rekha's Shirkhand,"2 tbsp fresh coriander, chopped, to garnish"
Rekha's Shirkhand,freshly ground black pepper
Rekha's Shirkhand,Ingredients
Rekha's Shirkhand,"450g floury potatoes, peeled and chopped"
Rekha's Shirkhand,"3 eggs, beaten"
Rekha's Shirkhand,freshly grated nutmeg
Rekha's Shirkhand,50g self-raising flour
Rekha's Shirkhand,2 egg whites
Rekha's Shirkhand,freshly ground black pepper
Rekha's Shirkhand,"1 tbsp rapeseed oil, for frying"
Rekha's Shirkhand,Ingredients
Rekha's Shirkhand,"15cm cucumber, finely sliced then chopped"
Rekha's Shirkhand,"1 red onion, finely sliced"
Rekha's Shirkhand,"1 carrot, cut into ribbons with a vegetable peeler, then sliced in strips"
Rekha's Shirkhand,juice half lemon
Rekha's Shirkhand,third tsp granulated sweetener
Rekha's Shirkhand,2 tsp rapeseed oil
Rekha's Shirkhand,"2 eggs, lightly beaten"
Rekha's Shirkhand,2 onions finely sliced
Rekha's Shirkhand,500g stir-fry turkey strips
Rekha's Shirkhand,"1 red pepper, thinly sliced"
Rekha's Shirkhand,2 cloves garlic sliced
Rekha's Shirkhand,"1 red chilli, chopped"
Rekha's Shirkhand,"160g Savoy cabbage, shredded"
Rekha's Shirkhand,"4 spring onions, chopped"
Rekha's Shirkhand,1 heaped tbsp nasi goreng paste
Rekha's Shirkhand,"160g frozen peas, defrosted"
Rekha's Shirkhand,480g cooked basmati rice (240g uncooked)
Vegetable and chickpea tagine,Ingredients
Vegetable and chickpea tagine,500g 0% fat naturally set yogurt
Vegetable and chickpea tagine,2 tsp sugar-free sweetener
Vegetable and chickpea tagine,5 pistachio nuts
Vegetable and chickpea tagine,5 almonds
Vegetable and chickpea tagine,"5 cardamoms, ground"
Vegetable and chickpea tagine,10 saffron strands
Vegetable and chickpea tagine,1 tbsp skimmed milk
Vegetable and chickpea tagine,Ingredients
Vegetable and chickpea tagine,1 tbsp oil
Vegetable and chickpea tagine,"2 cloves garlic, crushed"
Vegetable and chickpea tagine,quarter tsp ground cumin
Vegetable and chickpea tagine,quarter tsp ground ginger
Vegetable and chickpea tagine,half tsp chilli powder
Vegetable and chickpea tagine,"450g mixed vegetables cut into bite-sized pieces - one large courgette, two medium carrots and one medium aubergine"
Vegetable and chickpea tagine,100ml vegetable stock
Vegetable and chickpea tagine,"400g tin chickpeas, drained and rinsed"
Vegetable and chickpea tagine,100g (12) dried apricots
Vegetable and chickpea tagine,400g tin chopped tomatoes
Vegetable and chickpea tagine,1 tsp harissa paste
Vegetable and chickpea tagine,"2 tbsp fresh coriander, chopped, to garnish"
Vegetable and chickpea tagine,freshly ground black pepper
Vegetable and chickpea tagine,Ingredients
Vegetable and chickpea tagine,"450g floury potatoes, peeled and chopped"
Vegetable and chickpea tagine,"3 eggs, beaten"
Vegetable and chickpea tagine,freshly grated nutmeg
Vegetable and chickpea tagine,50g self-raising flour
Vegetable and chickpea tagine,2 egg whites
Vegetable and chickpea tagine,freshly ground black pepper
Vegetable and chickpea tagine,"1 tbsp rapeseed oil, for frying"
Vegetable and chickpea tagine,Ingredients
Vegetable and chickpea tagine,"15cm cucumber, finely sliced then chopped"
Vegetable and chickpea tagine,"1 red onion, finely sliced"
Vegetable and chickpea tagine,"1 carrot, cut into ribbons with a vegetable peeler, then sliced in strips"
Vegetable and chickpea tagine,juice half lemon
Vegetable and chickpea tagine,third tsp granulated sweetener
Vegetable and chickpea tagine,2 tsp rapeseed oil
Vegetable and chickpea tagine,"2 eggs, lightly beaten"
Vegetable and chickpea tagine,2 onions finely sliced
Vegetable and chickpea tagine,500g stir-fry turkey strips
Vegetable and chickpea tagine,"1 red pepper, thinly sliced"
Vegetable and chickpea tagine,2 cloves garlic sliced
Vegetable and chickpea tagine,"1 red chilli, chopped"
Vegetable and chickpea tagine,"160g Savoy cabbage, shredded"
Vegetable and chickpea tagine,"4 spring onions, chopped"
Vegetable and chickpea tagine,1 heaped tbsp nasi goreng paste
Vegetable and chickpea tagine,"160g frozen peas, defrosted"
Vegetable and chickpea tagine,480g cooked basmati rice (240g uncooked)
Potato pancakes,Ingredients
Potato pancakes,500g 0% fat naturally set yogurt
Potato pancakes,2 tsp sugar-free sweetener
Potato pancakes,5 pistachio nuts
Potato pancakes,5 almonds
Potato pancakes,"5 cardamoms, ground"
Potato pancakes,10 saffron strands
Potato pancakes,1 tbsp skimmed milk
Potato pancakes,Ingredients
Potato pancakes,1 tbsp oil
Potato pancakes,"2 cloves garlic, crushed"
Potato pancakes,quarter tsp ground cumin
Potato pancakes,quarter tsp ground ginger
Potato pancakes,half tsp chilli powder
Potato pancakes,"450g mixed vegetables cut into bite-sized pieces - one large courgette, two medium carrots and one medium aubergine"
Potato pancakes,100ml vegetable stock
Potato pancakes,"400g tin chickpeas, drained and rinsed"
Potato pancakes,100g (12) dried apricots
Potato pancakes,400g tin chopped tomatoes
Potato pancakes,1 tsp harissa paste
Potato pancakes,"2 tbsp fresh coriander, chopped, to garnish"
Potato pancakes,freshly ground black pepper
Potato pancakes,Ingredients
Potato pancakes,"450g floury potatoes, peeled and chopped"
Potato pancakes,"3 eggs, beaten"
Potato pancakes,freshly grated nutmeg
Potato pancakes,50g self-raising flour
Potato pancakes,2 egg whites
Potato pancakes,freshly ground black pepper
Potato pancakes,"1 tbsp rapeseed oil, for frying"
Potato pancakes,Ingredients
Potato pancakes,"15cm cucumber, finely sliced then chopped"
Potato pancakes,"1 red onion, finely sliced"
Potato pancakes,"1 carrot, cut into ribbons with a vegetable peeler, then sliced in strips"
Potato pancakes,juice half lemon
Potato pancakes,third tsp granulated sweetener
Potato pancakes,2 tsp rapeseed oil
Potato pancakes,"2 eggs, lightly beaten"
Potato pancakes,2 onions finely sliced
Potato pancakes,500g stir-fry turkey strips
Potato pancakes,"1 red pepper, thinly sliced"
Potato pancakes,2 cloves garlic sliced
Potato pancakes,"1 red chilli, chopped"
Potato pancakes,"160g Savoy cabbage, shredded"
Potato pancakes,"4 spring onions, chopped"
Potato pancakes,1 heaped tbsp nasi goreng paste
Potato pancakes,"160g frozen peas, defrosted"
Potato pancakes,480g cooked basmati rice (240g uncooked)
Nasi goreng with pickled vegetables,Ingredients
Nasi goreng with pickled vegetables,500g 0% fat naturally set yogurt
Nasi goreng with pickled vegetables,2 tsp sugar-free sweetener
Nasi goreng with pickled vegetables,5 pistachio nuts
Nasi goreng with pickled vegetables,5 almonds
Nasi goreng with pickled vegetables,"5 cardamoms, ground"
Nasi goreng with pickled vegetables,10 saffron strands
Nasi goreng with pickled vegetables,1 tbsp skimmed milk
Nasi goreng with pickled vegetables,Ingredients
Nasi goreng with pickled vegetables,1 tbsp oil
Nasi goreng with pickled vegetables,"2 cloves garlic, crushed"
Nasi goreng with pickled vegetables,quarter tsp ground cumin
Nasi goreng with pickled vegetables,quarter tsp ground ginger
Nasi goreng with pickled vegetables,half tsp chilli powder
Nasi goreng with pickled vegetables,"450g mixed vegetables cut into bite-sized pieces - one large courgette, two medium carrots and one medium aubergine"
Nasi goreng with pickled vegetables,100ml vegetable stock
Nasi goreng with pickled vegetables,"400g tin chickpeas, drained and rinsed"
Nasi goreng with pickled vegetables,100g (12) dried apricots
Nasi goreng with pickled vegetables,400g tin chopped tomatoes
Nasi goreng with pickled vegetables,1 tsp harissa paste
Nasi goreng with pickled vegetables,"2 tbsp fresh coriander, chopped, to garnish"
Nasi goreng with pickled vegetables,freshly ground black pepper
Nasi goreng with pickled vegetables,Ingredients
Nasi goreng with pickled vegetables,"450g floury potatoes, peeled and chopped"
Nasi goreng with pickled vegetables,"3 eggs, beaten"
Nasi goreng with pickled vegetables,freshly grated nutmeg
Nasi goreng with pickled vegetables,50g self-raising flour
Nasi goreng with pickled vegetables,2 egg whites
Nasi goreng with pickled vegetables,freshly ground black pepper
Nasi goreng with pickled vegetables,"1 tbsp rapeseed oil, for frying"
Nasi goreng with pickled vegetables,Ingredients
Nasi goreng with pickled vegetables,"15cm cucumber, finely sliced then chopped"
Nasi goreng with pickled vegetables,"1 red onion, finely sliced"
Nasi goreng with pickled vegetables,"1 carrot, cut into ribbons with a vegetable peeler, then sliced in strips"
Nasi goreng with pickled vegetables,juice half lemon
Nasi goreng with pickled vegetables,third tsp granulated sweetener
Nasi goreng with pickled vegetables,2 tsp rapeseed oil
Nasi goreng with pickled vegetables,"2 eggs, lightly beaten"
Nasi goreng with pickled vegetables,2 onions finely sliced
Nasi goreng with pickled vegetables,500g stir-fry turkey strips
Nasi goreng with pickled vegetables,"1 red pepper, thinly sliced"
Nasi goreng with pickled vegetables,2 cloves garlic sliced
Nasi goreng with pickled vegetables,"1 red chilli, chopped"
Nasi goreng with pickled vegetables,"160g Savoy cabbage, shredded"
Nasi goreng with pickled vegetables,"4 spring onions, chopped"
Nasi goreng with pickled vegetables,1 heaped tbsp nasi goreng paste
Nasi goreng with pickled vegetables,"160g frozen peas, defrosted"
Nasi goreng with pickled vegetables,480g cooked basmati rice (240g uncooked)
Tuna balls with tomato sauce,Ingredients
Tuna balls with tomato sauce,"large handful (approx 25g) mixed fresh herbs (eg parsley, mint, oregano, thyme and basil)"
Tuna balls with tomato sauce,"1 x 160g tin of tuna in sunflower oil, drain the oil and reserve"
Tuna balls with tomato sauce,25g pine nuts
Tuna balls with tomato sauce,45g brown breadcrumbs
Tuna balls with tomato sauce,zest of a lemon
Tuna balls with tomato sauce,pinch salt and pepper
Tuna balls with tomato sauce,"1 egg, beaten"
Tuna balls with tomato sauce,200g passata
Tuna balls with tomato sauce,"2 wedges of lemon, to serve"
Tuna balls with tomato sauce,Ingredients
Tuna balls with tomato sauce,For the burgers:
Tuna balls with tomato sauce,"400g can mixed beans, drained and mashed"
Tuna balls with tomato sauce,"1 sweet potato, peeled, boiled and mashed (250g)"
Tuna balls with tomato sauce,"1 onion, finely grated"
Tuna balls with tomato sauce,1 tsp curry paste
Tuna balls with tomato sauce,2 cloves garlic crushed
Tuna balls with tomato sauce,"2 tsp rapeseed oil, for frying"
Tuna balls with tomato sauce,Chargrilled veggies:
Tuna balls with tomato sauce,"half aubergine, sliced into 4 x 4cm slices"
Tuna balls with tomato sauce,"4 Portobello mushrooms, stalks removed"
Tuna balls with tomato sauce,"1 courgette, cut into long slices"
Tuna balls with tomato sauce,"1 red pepper, quartered"
Tuna balls with tomato sauce,"1 yellow pepper, quartered"
Tuna balls with tomato sauce,Salad:
Tuna balls with tomato sauce,8 little gem lettuce leaves
Tuna balls with tomato sauce,"1 very large tomato, sliced"
Tuna balls with tomato sauce,"1 red onion, thinly sliced"
Tuna balls with tomato sauce,"4 wholemeal baps, split and lightly toasted (65g each)"
Tuna balls with tomato sauce,Sauce:
Tuna balls with tomato sauce,"4 tsp tahini, mixed with juice 1 lemon and 2 tbsp water"
Tuna balls with tomato sauce,Ingredients
Tuna balls with tomato sauce,1 tsp sunflower oil
Tuna balls with tomato sauce,"1 onion, chopped"
Tuna balls with tomato sauce,1 tsp mustard seeds
Tuna balls with tomato sauce,"2cm fresh ginger, peeled and grated"
Tuna balls with tomato sauce,1 tsp chilli powder
Tuna balls with tomato sauce,1 tsp ground coriander
Tuna balls with tomato sauce,pinch turmeric
Tuna balls with tomato sauce,"6 tbsp fresh coriander, leaves and finely chopped stalks"
Tuna balls with tomato sauce,200g chopped tomatoes
Tuna balls with tomato sauce,2 tbsp tomato purée
Tuna balls with tomato sauce,"125g yellow lentils, washed and drained"
Tuna balls with tomato sauce,600ml vegetable stock
Tuna balls with tomato sauce,"900g floury potatoes, peeled and cubed"
Tuna balls with tomato sauce,"fresh coriander leaves, to serve"
Tuna balls with tomato sauce,Ingredients
Tuna balls with tomato sauce,200g new potatoes
Tuna balls with tomato sauce,1kg fresh mussels
Tuna balls with tomato sauce,200g purple sprouting broccoli
Tuna balls with tomato sauce,1 tbsp sunflower oil
Tuna balls with tomato sauce,"100g leek, thinly sliced"
Tuna balls with tomato sauce,"3 cloves garlic, crushed"
Tuna balls with tomato sauce,"1 bunch spring onions, trimmed and roughly chopped"
Tuna balls with tomato sauce,"100g frozen broad beans, defrosted"
Tuna balls with tomato sauce,400ml semi-skimmed milk
Tuna balls with tomato sauce,good pinch black pepper
Tuna balls with tomato sauce,"large handful parsley, freshly chopped"
Vegan stack burger,Ingredients
Vegan stack burger,"large handful (approx 25g) mixed fresh herbs (eg parsley, mint, oregano, thyme and basil)"
Vegan stack burger,"1 x 160g tin of tuna in sunflower oil, drain the oil and reserve"
Vegan stack burger,25g pine nuts
Vegan stack burger,45g brown breadcrumbs
Vegan stack burger,zest of a lemon
Vegan stack burger,pinch salt and pepper
Vegan stack burger,"1 egg, beaten"
Vegan stack burger,200g passata
Vegan stack burger,"2 wedges of lemon, to serve"
Vegan stack burger,Ingredients
Vegan stack burger,For the burgers:
Vegan stack burger,"400g can mixed beans, drained and mashed"
Vegan stack burger,"1 sweet potato, peeled, boiled and mashed (250g)"
Vegan stack burger,"1 onion, finely grated"
Vegan stack burger,1 tsp curry paste
Vegan stack burger,2 cloves garlic crushed
Vegan stack burger,"2 tsp rapeseed oil, for frying"
Vegan stack burger,Chargrilled veggies:
Vegan stack burger,"half aubergine, sliced into 4 x 4cm slices"
Vegan stack burger,"4 Portobello mushrooms, stalks removed"
Vegan stack burger,"1 courgette, cut into long slices"
Vegan stack burger,"1 red pepper, quartered"
Vegan stack burger,"1 yellow pepper, quartered"
Vegan stack burger,Salad:
Vegan stack burger,8 little gem lettuce leaves
Vegan stack burger,"1 very large tomato, sliced"
Vegan stack burger,"1 red onion, thinly sliced"
Vegan stack burger,"4 wholemeal baps, split and lightly toasted (65g each)"
Vegan stack burger,Sauce:
Vegan stack burger,"4 tsp tahini, mixed with juice 1 lemon and 2 tbsp water"
Vegan stack burger,Ingredients
Vegan stack burger,1 tsp sunflower oil
Vegan stack burger,"1 onion, chopped"
Vegan stack burger,1 tsp mustard seeds
Vegan stack burger,"2cm fresh ginger, peeled and grated"
Vegan stack burger,1 tsp chilli powder
Vegan stack burger,1 tsp ground coriander
Vegan stack burger,pinch turmeric
Vegan stack burger,"6 tbsp fresh coriander, leaves and finely chopped stalks"
Vegan stack burger,200g chopped tomatoes
Vegan stack burger,2 tbsp tomato purée
Vegan stack burger,"125g yellow lentils, washed and drained"
Vegan stack burger,600ml vegetable stock
Vegan stack burger,"900g floury potatoes, peeled and cubed"
Vegan stack burger,"fresh coriander leaves, to serve"
Vegan stack burger,Ingredients
Vegan stack burger,200g new potatoes
Vegan stack burger,1kg fresh mussels
Vegan stack burger,200g purple sprouting broccoli
Vegan stack burger,1 tbsp sunflower oil
Vegan stack burger,"100g leek, thinly sliced"
Vegan stack burger,"3 cloves garlic, crushed"
Vegan stack burger,"1 bunch spring onions, trimmed and roughly chopped"
Vegan stack burger,"100g frozen broad beans, defrosted"
Vegan stack burger,400ml semi-skimmed milk
Vegan stack burger,good pinch black pepper
Vegan stack burger,"large handful parsley, freshly chopped"
Potato and lentil curry,Ingredients
Potato and lentil curry,"large handful (approx 25g) mixed fresh herbs (eg parsley, mint, oregano, thyme and basil)"
Potato and lentil curry,"1 x 160g tin of tuna in sunflower oil, drain the oil and reserve"
